stair.thisTrialN,key_resp.corr,tilt,tilt,key_resp.corr,stair.thisTrialN,tilt,,,
0,1,-10,10,1,0,10,,,
1,1,8,8,1,1,8,accuracy,0.8,80%
2,1,-6,6,1,2,6,absolute threshold,1.5,
3,1,-4,4,1,3,4,,,
4,1,-2,2,1,4,2,2.5,,
5,1,1,1,1,5,1,2.5,,
6,0,-1,1,0,6,1,2.5,,
7,1,-2,2,1,7,2,-3,,
8,1,2,2,1,8,2,3,,
9,1,-2,2,1,9,2,,,
10,0,-1,1,0,10,1,,,
11,1,-1.5,1.5,1,11,1.5,,,
12,0,-1.5,1.5,0,12,1.5,,,
13,1,-2,2,1,13,2,,,
14,1,2,2,1,14,2,,,
15,1,-2,2,1,15,2,,,
16,0,-1.5,1.5,0,16,1.5,,,
17,0,-2,2,0,17,2,,,
18,1,2.5,2.5,1,18,2.5,,,
19,1,2.5,2.5,1,19,2.5,,,
20,1,-2.5,2.5,1,20,2.5,,,
21,1,-2,2,1,21,2,,,
22,1,2,2,1,22,2,,,
23,1,-2,2,1,23,2,,,
24,1,-1.5,1.5,1,24,1.5,,,
25,1,1.5,1.5,1,25,1.5,,,
26,1,-1.5,1.5,1,26,1.5,,,
27,0,-1,1,0,27,1,,,
28,0,-1.5,1.5,0,28,1.5,,,
29,1,-2,2,1,29,2,,,
30,1,-2,2,1,30,2,,,
31,1,-2,2,1,31,2,,,
32,0,-1.5,1.5,0,32,1.5,,,
33,1,2,2,1,33,2,,,
34,1,2,2,1,34,2,,,
35,1,-2,2,1,35,2,,,
36,1,1.5,1.5,1,36,1.5,,,
37,1,1.5,1.5,1,37,1.5,,,
38,0,-1.5,1.5,0,38,1.5,,,
39,1,-2,2,1,39,2,,,
40,1,2,2,1,40,2,,,
41,1,2,2,1,41,2,,,
42,1,-1.5,1.5,1,42,1.5,,,
43,1,-1.5,1.5,1,43,1.5,,,
44,1,1.5,1.5,1,44,1.5,,,
45,1,-1,1,1,45,1,,,
46,1,1,1,1,46,1,,,
47,1,-1,1,1,47,1,,,
48,1,1,1,1,48,1,,,
49,1,-1,1,1,49,1,,,
50,1,1,1,1,50,1,,,
51,1,1,1,1,51,1,,,
52,1,1,1,1,52,1,,,
53,1,-1,1,1,53,1,,,
54,0,-1,1,0,54,1,,,
55,1,-1.5,1.5,1,55,1.5,,,
56,0,-1.5,1.5,0,56,1.5,,,
57,1,-2,2,1,57,2,,,
58,1,2,2,1,58,2,,,
59,1,-2,2,1,59,2,,,
60,1,1.5,1.5,1,60,1.5,,,
61,0,1.5,1.5,0,61,1.5,,,
62,1,2,2,1,62,2,,,
63,0,-2,2,0,63,2,,,
64,1,2.5,2.5,1,64,2.5,,,
65,1,2.5,2.5,1,65,2.5,,,
66,0,-2.5,2.5,0,66,2.5,,,
67,1,3,3,1,67,3,,,
68,1,-3,3,1,68,3,,,
69,1,-3,3,1,69,3,,,
70,1,-2.5,2.5,1,70,2.5,,,
71,1,2.5,2.5,1,71,2.5,,,
72,1,-2.5,2.5,1,72,2.5,,,
73,1,2,2,1,73,2,,,
74,1,-2,2,1,74,2,,,
75,0,-2,2,0,75,2,,,
76,1,2.5,2.5,1,76,2.5,,,
77,1,-2.5,2.5,1,77,2.5,,,
78,1,2.5,2.5,1,78,2.5,,,
79,0,-2,2,0,79,2,,,
80,1,-2.5,2.5,1,80,2.5,,,
81,1,2.5,2.5,1,81,2.5,,,
82,1,2.5,2.5,1,82,2.5,,,
83,0,-2,2,0,83,2,,,
84,1,2.5,2.5,1,84,2.5,,,
85,0,-2.5,2.5,0,85,2.5,,,
86,1,-3,3,1,86,3,,,
87,0,3,3,0,87,3,,,
88,1,3.5,3.5,1,88,3.5,2.5,,
89,1,3.5,3.5,1,89,3.5,2.5,,
90,1,-3.5,3.5,1,90,3.5,2.5,,
91,1,3,3,1,91,3,-3,,
92,1,3,3,1,92,3,3,,
93,0,3,3,0,93,3,,,
94,1,3.5,3.5,1,94,3.5,,,
95,1,3.5,3.5,1,95,3.5,,,
96,1,3.5,3.5,1,96,3.5,,,
97,1,-3,3,1,97,3,,,
98,1,3,3,1,98,3,,,
99,1,3,3,1,99,3,,,
