delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.1,1000,exp,0,0,0,6,0.030640400014817715,,0.02727929991669953,0.030640400014817715,1.0152052999474108,1.0152052999474108,1.0316508999094367,2.0862737998832017,space,None,None,2.088060799986124,2.1978841666753093,2.510055399965495,2.4855437998194247,2.4855684998910874,2.510055399965495,2.510055399965495,2.510055399965495,13.11521269986406,200,1,[10.628322800155729],[10.6283297999762],147548,001,2024-11-08_11h46.00.428,untitled,2024.1.5,None,2024-11-08 11h46.05.513021 +0530,
0.7,400,unexp,0,1,1,2,13.131088299909607,,13.116131199989468,13.131088299909607,14.130722800036892,14.130722800036892,14.130722800036892,15.997804200043902,space,1.8636151000391692,None,15.998010999988765,16.713796066648015,17.02129209996201,17.01232449989766,17.012346299830824,17.02129209996201,17.02129209996201,17.02129209996201,20.66322789993137,350,1,[3.6495942999608815],[3.6496037000324577],147548,001,2024-11-08_11h46.00.428,untitled,2024.1.5,None,2024-11-08 11h46.05.513021 +0530,
0.7,1000,exp,0,2,2,5,20.678395099937916,,20.663840199820697,20.678395099937916,21.678277199855074,21.678277199855074,21.678277199855074,24.961489599896595,space,3.2707895999774337,None,24.961766799911857,25.67740066658395,25.976413399912417,25.96686699986458,25.96688840002753,25.976413399912417,25.976413399912417,25.976413399912417,31.508752799825743,600,1,[5.540832800092176],[5.540838700020686],147548,001,2024-11-08_11h46.00.428,untitled,2024.1.5,None,2024-11-08 11h46.05.513021 +0530,
0.1,1000,exp,0,3,3,9,31.524690199876204,,31.50922859995626,31.524690199876204,32.524140199879184,32.524140199879184,32.524140199879184,33.341351399896666,space,0.8081557000987232,None,33.3416291999165,33.44072796666684,33.751231599831954,33.74294779985212,33.74297109991312,33.751231599831954,33.751231599831954,33.751231599831954,40.455709599889815,350,1,[6.7115527000278234],[6.71156490012072],147548,001,2024-11-08_11h46.00.428,untitled,2024.1.5,None,2024-11-08 11h46.05.513021 +0530,
0.4,1000,exp,0,4,4,4,40.47123040002771,,40.456331899855286,40.47123040002771,41.47157990001142,41.47157990001142,41.47157990001142,42.22165399999358,space,0.7333575999364257,None,42.221932200016454,42.62102916656683,42.928198399953544,42.91951759997755,42.919544599950314,42.928198399953544,42.928198399953544,42.928198399953544,46.67023029993288,900,1,[3.7495120000094175],[3.749519400065765],147548,001,2024-11-08_11h46.00.428,untitled,2024.1.5,None,2024-11-08 11h46.05.513021 +0530,
0.7,1000,exp,0,5,5,8,46.686217499896884,,46.670712799998,46.686217499896884,47.669197499984875,47.669197499984875,47.68609179998748,48.52032030001283,space,0.8451795999426395,None,48.520521600032225,49.23584686668279,49.54207820002921,49.531712299911305,49.53173269983381,49.54207820002921,49.54207820002921,49.54207820002921,53.53485539997928,150,1,[4.001426899805665],[4.001436199992895],147548,001,2024-11-08_11h46.00.428,untitled,2024.1.5,None,2024-11-08 11h46.05.513021 +0530,
0.4,1000,exp,0,6,6,7,53.55021979985759,,53.53546919999644,53.55021979985759,54.5502400000114,54.5502400000114,54.5502400000114,59.64963450003415,space,5.0942058998625726,None,59.649834600044414,60.06479806668746,60.37468929984607,60.360993899870664,60.36101570003666,60.37468929984607,60.37468929984607,60.37468929984607,65.96435049991123,300,1,[5.602226300165057],[5.6022335002198815],147548,001,2024-11-08_11h46.00.428,untitled,2024.1.5,None,2024-11-08 11h46.05.513021 +0530,
0.7,1000,exp,0,7,7,11,65.97941139992326,,65.96476459992118,65.97941139992326,66.97900609998032,66.97900609998032,66.97900609998032,69.18059300002642,space,2.1904792999848723,None,69.18080789991654,69.89543736662405,70.2040255998727,70.19088079989888,70.1909024999477,70.2040255998727,70.2040255998727,70.2040255998727,74.87767139985226,400,1,[4.6857538998592645],[4.685759999789298],147548,001,2024-11-08_11h46.00.428,untitled,2024.1.5,None,2024-11-08 11h46.05.513021 +0530,
0.1,400,unexp,0,8,8,0,74.8930828999728,,74.87826289981604,74.8930828999728,75.89290299988352,75.89290299988352,75.89290299988352,76.47704809997231,space,0.5741172002162784,None,76.47726770001464,76.59271766670669,76.90296049998142,76.89137710002251,76.89140409999527,76.90296049998142,76.90296049998142,76.90296049998142,82.75799189996906,175,1,[5.865284899948165],[5.865291099995375],147548,001,2024-11-08_11h46.00.428,untitled,2024.1.5,None,2024-11-08 11h46.05.513021 +0530,
,,,,,,,82.77370559982955,,82.75840189983137,82.77370559982955,83.77333229989745,83.77333229989745,83.77333229989745,87.60253279982135,space,3.815795199945569,None,87.60286309989169,87.70195556671048,,87.98093239986338,87.98095080000348,87.98892039991915,87.98892039991915,87.98892039991915,,,,,,,,,,,,,
