Study_word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,test_word,References,old_new,thisRow.t,notes,trial.started,text.started,slider.started,text.stopped,trial.stopped,slider.response,slider.rt,test.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
cushion,0,0,0,1,,,,,,,,0.14976830000523478,,0.05441149999387562,0.14976830000523478,0.14976830000523478,8.151930599997286,11.287030199993751,1.0777777777777777,11.198741700005485,,534229,001,2024-10-25_12h14.45.745,untitled,2024.1.5,None,2024-10-25 12h14.53.152600 +0530,
Cruise,0,1,1,11,,,,,,,,11.316287800000282,,11.291512499999953,11.316287800000282,11.316287800000282,,13.10266469999624,1.2333333333333334,1.78587079999852,,534229,001,2024-10-25_12h14.45.745,untitled,2024.1.5,None,2024-10-25 12h14.53.152600 +0530,
Chart,0,2,2,6,,,,,,,,13.132538199992268,,13.102870499991695,13.132538199992268,13.132538199992268,,15.619408099999418,1.0055555555555555,2.4942716999939876,,534229,001,2024-10-25_12h14.45.745,untitled,2024.1.5,None,2024-10-25 12h14.53.152600 +0530,
Poster,0,3,3,14,,,,,,,,15.64874219999183,,15.619640000004438,15.64874219999183,15.64874219999183,,18.20183829999587,2.6833333333333336,2.559163800004171,,534229,001,2024-10-25_12h14.45.745,untitled,2024.1.5,None,2024-10-25 12h14.53.152600 +0530,
Pastry,0,4,4,9,,,,,,,,18.23122400000284,,18.202046099992003,18.23122400000284,18.23122400000284,,19.600805399997625,2.338888888888889,1.376026300000376,,534229,001,2024-10-25_12h14.45.745,untitled,2024.1.5,None,2024-10-25 12h14.53.152600 +0530,
Keys,0,5,5,13,,,,,,,,19.63059179999982,,19.60101470000518,19.63059179999982,19.63059179999982,,21.41712660000485,1.6833333333333333,1.7935525000066264,,534229,001,2024-10-25_12h14.45.745,untitled,2024.1.5,None,2024-10-25 12h14.53.152600 +0530,
Laptop,0,6,6,5,,,,,,,,21.446869999999763,,21.417371799994726,21.446869999999763,21.446869999999763,,25.316460000001825,1.3111111111111111,3.876953400002094,,534229,001,2024-10-25_12h14.45.745,untitled,2024.1.5,None,2024-10-25 12h14.53.152600 +0530,
board,0,7,7,4,,,,,,,,25.344897899994976,,25.316943800004083,25.344897899994976,25.344897899994976,,25.665248299992527,1.3111111111111111,0.32478769999579526,,534229,001,2024-10-25_12h14.45.745,untitled,2024.1.5,None,2024-10-25 12h14.53.152600 +0530,
T-shirt,0,8,8,7,,,,,,,,25.69518860000244,,25.665467500002705,25.69518860000244,25.69518860000244,,26.348780999993323,1.3111111111111111,0.6600923000078183,,534229,001,2024-10-25_12h14.45.745,untitled,2024.1.5,None,2024-10-25 12h14.53.152600 +0530,
book,0,9,9,0,,,,,,,,26.378224500003853,,26.348987199991825,26.378224500003853,26.378224500003853,,26.698842700003297,1.3111111111111111,0.32925389999581967,,534229,001,2024-10-25_12h14.45.745,untitled,2024.1.5,None,2024-10-25 12h14.53.152600 +0530,
phone,0,10,10,2,,,,,,,,26.728267800004687,,26.69904750000569,26.728267800004687,26.728267800004687,,27.131729400003678,1.3111111111111111,0.41261600000143517,,534229,001,2024-10-25_12h14.45.745,untitled,2024.1.5,None,2024-10-25 12h14.53.152600 +0530,
marble,0,11,11,3,,,,,,,,27.161326899993583,,27.131976199991186,27.161326899993583,27.161326899993583,,27.582222900004126,1.3111111111111111,0.429200700004003,,534229,001,2024-10-25_12h14.45.745,untitled,2024.1.5,None,2024-10-25 12h14.53.152600 +0530,
Case,0,12,12,10,,,,,,,,27.61148140000296,,27.582427400004235,27.61148140000296,27.61148140000296,,27.999062799994135,1.3111111111111111,0.3946447000053013,,534229,001,2024-10-25_12h14.45.745,untitled,2024.1.5,None,2024-10-25 12h14.53.152600 +0530,
Police,0,13,13,12,,,,,,,,28.027673200005665,,27.9993558999995,28.027673200005665,28.027673200005665,,28.398661800005357,1.3111111111111111,0.37772449999465607,,534229,001,2024-10-25_12h14.45.745,untitled,2024.1.5,None,2024-10-25 12h14.53.152600 +0530,
mouse,0,14,14,8,,,,,,,,28.42777219999698,,28.398952399991686,28.42777219999698,28.42777219999698,,28.731359500001417,1.3111111111111111,0.31116389999806415,,534229,001,2024-10-25_12h14.45.745,untitled,2024.1.5,None,2024-10-25 12h14.53.152600 +0530,
,,,,,,,,,,,,,,,,,,,,,28.73660029999155,,,,,,,,
