Word,Color,Correct_resp,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,association.started,text_3.started,polygon.started,text_6.started,text_3.stopped,polygon.stopped,text_6.stopped,association.stopped,Break.started,text_4.started,key_resp_2.started,Break.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fixation.started,text_2.started,text_2.stopped,fixation.stopped,StroopTask.started,text.started,key_resp.started,StroopTask.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trial.started,trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
Chair,Yellow,y,0,0,0,11,,,,,0.043339,,0.0235627,0.043339,0.043339,3.0054002,3.0547204,3.0547204,4.5084239,4.4894203,,,,,,,,,,,,,,,,,,,,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
Love,Red,r,0,1,1,0,,,,,4.5084239,,4.489864,4.5084239,4.5084239,7.5031242,7.5031242,7.5031242,9.0106956,8.9874714,,,,,,,,,,,,,,,,,,,,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
Lamp,Violet,v,0,2,2,15,,,,,9.0106956,,8.9882804,9.0106956,9.0106956,12.002248,12.018297,12.018297,,13.5013062,,,,,,,,,,,,,,,,,,,,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
Grief,Brown,n,0,3,3,9,,,,,13.520439,,13.5017972,13.520439,13.520439,16.500622,16.5333762,16.5333762,,18.0033981,,,,,,,,,,,,,,,,,,,,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
Peace,Green,g,0,4,4,2,,,,,18.0207427,,18.0040853,18.0207427,18.0207427,20.9992606,21.0318755,21.0318755,22.5214667,22.5002828,,,,,,,,,,,,,,,,,,,,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
Brick,Orange,o,0,5,5,13,,,,,22.5214667,,22.5012312,22.5214667,22.5214667,25.5142505,25.5303978,25.5303978,27.0169265,26.9980126,,,,,,,,,,,,,,,,,,,,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
Joy,Blue,b,0,6,6,1,,,,,27.0169265,,26.9986885,27.0169265,27.0169265,30.0124948,30.0297804,30.0297804,31.5190635,31.4961112,,,,,,,,,,,,,,,,,,,,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
Hate,Black,k,0,7,7,6,,,,,31.5190635,,31.4966314,31.5190635,31.5190635,34.5114505,34.5273471,34.5273471,36.0133859,35.9955522,,,,,,,,,,,,,,,,,,,,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
Bottle,Brown,n,0,8,8,17,,,,,36.0133859,,35.996143,36.0133859,36.0133859,39.0094522,39.025746,39.025746,40.5163443,40.4932235,,,,,,,,,,,,,,,,,,,,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
Happiness,Orange,o,0,9,9,5,,,,,40.5163443,,40.4938857,40.5163443,40.5163443,43.507885,43.5242706,43.5242706,45.0113161,44.9926437,,,,,,,,,,,,,,,,,,,,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
Window,Black,k,0,10,10,14,,,,,45.0113161,,44.9932364,45.0113161,45.0113161,48.0098525,48.0226179,48.0226179,,49.5056094,,,,,,,,,,,,,,,,,,,,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
Dream,Pink,p,0,11,11,4,,,,,49.5293882,,49.5063575,49.5293882,49.5293882,52.5053493,52.5390385,52.5390385,,54.0039098,,,,,,,,,,,,,,,,,,,,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
Cloud,Pink,p,0,12,12,12,,,,,54.0239641,,54.0048835,54.0239641,54.0239641,57.0034007,57.0363249,57.0363249,,58.5043734,,,,,,,,,,,,,,,,,,,,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
Wall,Blue,b,0,13,13,19,,,,,58.5197608,,58.5047948,58.5197608,58.5197608,61.5017426,61.5346152,61.5346152,63.0122398,62.9871695,,,,,,,,,,,,,,,,,,,,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
Table,Green,g,0,14,14,10,,,,,63.0122398,,62.9880561,63.0122398,63.0122398,66.0002039,66.0170202,66.0170202,67.5095234,67.4854687,,,,,,,,,,,,,,,,,,,,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
Fear,Violet,v,0,15,15,7,,,,,67.5095234,,67.4861584,67.5095234,67.5095234,70.4986576,70.5148681,70.5148681,72.0044899,71.9857254,,,,,,,,,,,,,,,,,,,,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
Death,White,w,0,16,16,8,,,,,72.0044899,,71.9866596,72.0044899,72.0044899,75.0133548,75.0133548,75.0133548,76.5157803,76.4981506,,,,,,,,,,,,,,,,,,,,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
Hope,Yellow,y,0,17,17,3,,,,,76.5157803,,76.4987171,76.5157803,76.5157803,79.512094,79.512094,79.512094,81.0167511,80.9956906,,,,,,,,,,,,,,,,,,,,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
Paper,Red,r,0,18,18,18,,,,,81.0167511,,80.9963626,81.0167511,81.0167511,84.0149824,84.0269976,84.0269976,,85.5102651,,,,,,,,,,,,,,,,,,,,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
Pen,White,w,0,19,19,16,,,,,85.5281255,,85.5108484,85.5281255,85.5281255,88.5131851,88.5255383,88.5255383,,90.0085731,,,,,,,,,,,,,,,,,,,,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
,,,,,,,,,,,,,,,,,,,,,90.0086793,90.0261659,90.0261659,92.6269784,space,2.5745049,None,,,,,,,,,,,,,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.6270196,92.6343715,93.1670318,93.1258003,,,,,,,,,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
Happiness,Orange,o,,,,,0,0,0,5,93.1670318,,,,,,,,,,,,,,,,,,,,,93.1530266,93.1670318,93.1670318,95.728138,o,1,2.5558394,None,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
Death,White,w,,,,,0,1,1,8,95.7473152,,,,,,,,,,,,,,,,,,,,,95.7340416,95.7473152,95.7473152,102.0107092,w,1,6.2587006,None,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
Fear,Violet,v,,,,,0,2,2,7,102.0273334,,,,,,,,,,,,,,,,,,,,,102.0130372,102.0273334,102.0273334,111.1743001,v,1,9.1315423,None,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
Grief,Brown,n,,,,,0,3,3,9,111.1883011,,,,,,,,,,,,,,,,,,,,,111.1760242,111.1883011,111.1883011,120.5503521,b,0,9.3485831,None,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
Chair,Yellow,y,,,,,0,4,4,11,120.5682188,,,,,,,,,,,,,,,,,,,,,120.5519514,120.5682188,120.5682188,123.6338694,y,1,3.0627827,None,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
Bottle,Brown,n,,,,,0,5,5,17,123.6495187,,,,,,,,,,,,,,,,,,,,,123.6353559,123.6495187,123.6495187,128.6629374,b,0,5.0074241,None,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
Brick,Orange,o,,,,,0,6,6,13,128.6785363,,,,,,,,,,,,,,,,,,,,,128.6635583,128.6785363,128.6785363,134.0957941,o,1,5.4122853,None,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
Pen,White,w,,,,,0,7,7,16,134.1130858,,,,,,,,,,,,,,,,,,,,,134.0972428,134.1130858,134.1130858,136.1956239,w,1,2.0790864,None,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
Hate,Black,k,,,,,0,8,8,6,136.21099,,,,,,,,,,,,,,,,,,,,,136.1969194,136.21099,136.21099,149.3261967,b,0,13.1113495,None,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
Lamp,Violet,v,,,,,0,9,9,15,149.3396063,,,,,,,,,,,,,,,,,,,,,149.327452,149.3396063,149.3396063,152.9214538,v,1,3.5711008,None,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
Hope,Yellow,y,,,,,0,10,10,3,152.9405864,,,,,,,,,,,,,,,,,,,,,152.9231668,152.9405864,152.9405864,159.3877855,y,1,6.4339837,None,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
Table,Green,g,,,,,0,11,11,10,159.4012765,,,,,,,,,,,,,,,,,,,,,159.3890885,159.4012765,159.4012765,164.0713336,g,1,4.658432,None,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
Joy,Blue,b,,,,,0,12,12,1,164.0854873,,,,,,,,,,,,,,,,,,,,,164.072678,164.0854873,164.0854873,173.5818143,b,1,9.4882933,None,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
Paper,Red,r,,,,,0,13,13,18,173.5970157,,,,,,,,,,,,,,,,,,,,,173.5831056,173.5970157,173.5970157,177.8481017,r,1,4.2393179,None,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
Dream,Pink,p,,,,,0,14,14,4,177.8615763,,,,,,,,,,,,,,,,,,,,,177.8498991,177.8615763,177.8615763,189.6436281,p,1,11.7677146,None,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
Wall,Blue,b,,,,,0,15,15,19,189.6631951,,,,,,,,,,,,,,,,,,,,,189.644847,189.6631951,189.6631951,192.6305639,b,1,2.951284,None,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
Cloud,Pink,p,,,,,0,16,16,12,192.6502775,,,,,,,,,,,,,,,,,,,,,192.6321277,192.6502775,192.6502775,196.0789683,p,1,3.4174069,None,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
Window,Black,k,,,,,0,17,17,14,196.0926907,,,,,,,,,,,,,,,,,,,,,196.080323,196.0926907,196.0926907,202.2905609,k,1,6.1843073,None,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
Peace,Green,g,,,,,0,18,18,2,202.3033116,,,,,,,,,,,,,,,,,,,,,202.2922734,202.3033116,202.3033116,206.937522,w,0,4.616242,None,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
Love,Red,r,,,,,0,19,19,0,206.9516368,,,,,,,,,,,,,,,,,,,,,206.9384801,206.9516368,206.9516368,215.9173021,r,1,8.956105,None,,,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.9183204,215.9189745,1,1,2024-12-05_23h44.09.749,emotional stroop task,2024.1.5,None,2024-12-05 23h44.22.573645 +0530
